"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KY5MWESF","journalArticle","2023","Chassonnery-Zaigouche, Cléo; Goutsmedt, Aurélien","Symposium on Elisabeth Popp Berman's Thinking Like an Economist","OEconomia - History, Methodology, Philosophy","","","https://journals.openedition.org/oeconomia/16243","https://journals.openedition.org/oeconomia/16243","","2023","2023-05-24 15:42:32","2024-10-30 13:34:22","","909-919","","3","13","","","","","","","","","","","","","","","","","https://hal.science/hal-04270601","","","","long-cv; other-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3Q8UBIL","computerProgram","2024","Goutsmedt, Aurélien","Ranystyle: Automated Bibliographic Reference Parsing and Cleaning","","","","","https://zenodo.org/records/10458021","Ranystyle (pronounce R-anystyle) is an R package designed to automate the extraction, parsing, and cleaning of bibliographic references from PDF and text documents as well as vector of references stored in an R object. Utilizing the power of the anystyle Ruby gem, it segments references and converts them into structured formats suitable for analysis and use. See more information on the package website.","2024","2024-01-25 14:12:40","2025-10-29 15:21:40","2024-01-25 14:12:40","","","","","","","Ranystyle","","","","","Zenodo","","","","","","","Zenodo","","https://agoutsmedt.github.io/Ranystyle/index.html","","","","long-cv; packages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v0.0.999","","","","","","","",""
"S8VM3UJX","journalArticle","2022","Goutsmedt, Aurélien; Truc, Alexandre","Mapping Macroeconomics: a Digital History of Macroeconomics","Working Paper","","","https://www.digitalhistoryofscience.org/dhm/","","","2022","2022-08-02 14:54:54","2022-12-28 17:15:57","","","","","","","","","","","","","","","","","","","","","","","","","","long-cv; ongoing-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8P3FLR6E","journalArticle","2019","Goutsmedt, Aurélien","James Forder, Macroeconomics and the Phillips Curve Myth","OEconomia - History, Methodology, Philosophy","","","https://journals.openedition.org/oeconomia/6190","","Science studies contain a wealth of stories about discoveries and the emergence of an idea at a certain point in time, which was to bear significant changes in a field. In economics, those stories are often initiated by economists themselves and tend to be repeated through review articles, textbooks or interviews. Macroeconomics appears as a fertile ground for such stories—think of the Keynesian multiplier, the rational expectations hypothesis, the birth of endogenous growth theories. Among t...","2019","2021-02-23 11:35:27","2025-10-29 15:22:01","","589-594","","3","9","","","","","","","","","","en","","","","","","","","","","","long-cv; other-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDHSFMMW","journalArticle","2015","Goutsmedt, Aurélien; Pinzon-Fuchs, Erich; Renault, Matthieu; Sergi, Francesco","Criticizing the Lucas Critique: Macroeconometricians' Response to Robert Lucas","Documents de travail du Centre d'Economie de la Sorbonne","","","","","","2015","2016-01-11 15:15:06","2022-12-10 11:23:18","","","","","2015.59","","","","","","","","","","","","","","","Google Scholar","","https://shs.hal.science/halshs-01179114/","","/home/agoutsmedt/Zotero/storage/HP7HJ2FJ/Goutsmedt et al. - 2015 - Criticizing the Lucas Critique Macroeconometricia.pdf","","long-cv; other-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IHZ6IIG","journalArticle","2017","Goutsmedt, Aurélien","Stagflation and the crossroad in macroeconomics: the struggle between structural and New Classical macroeconometrics","Documents de travail du Centre d'Economie de la Sorbonne","","","","","","2017","2018-07-04 13:42:49","2022-12-10 11:23:09","","","","","","","","","","","","","","","","","","","","","","https://aurelien-goutsmedt.com/media/pdf/stagflation-crossroad.pdf","","/home/agoutsmedt/Zotero/storage/GAMWNBR2/Goutsmedt - 2017 - Stagflation and the crossroad in macroeconomics t.pdf","","long-cv; other-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3UUFIJB","thesis","2017","Goutsmedt, Aurélien","Les macroéconomistes et la stagflation : Essais sur les transformations de la macroéconomie dans les années 1970","","","","","https://www.theses.fr/2017PA01E031","","2017","2021-02-23 11:36:18","2023-05-24 16:22:20","","","","","","","","","","","","","Thèse Université Paris 1 Panthéon-Sorbonne","","fr","","","","","Zotero","","https://www.theses.fr/2017PA01E031","","","","long-cv; other-pub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWJJZ5Z3","journalArticle","2024","Acosta, Juan; Cherrier, Beatrice; Claveau, François; Fontan, Clément; Goutsmedt, Aurélien; Sergi, Francesco","Six Decades of Economic Research at the Bank of England","History of Political Economy","","0018-2702","https://doi.org/10.1215/00182702-10956544","https://read.dukeupress.edu/hope/article/doi/10.1215/00182702-10956544/382434/Six-Decades-of-Economic-Research-at-the-Bank-of","This paper discusses the transformation of the content, role, and status of economic research at the Bank of England in the past sixty years. We show how three factors (the policy functions and missions of the Bank, the attitude of its executives toward economics, and its organizational structure) shaped the evolution of in-house economic research at the Bank during three distinctive periods (1960–91; 1992–2007; 2007–14). Our account relies on a broad set of sources and methods (the Bank's publications, archives, interviews with current and former Bank economists, citation analysis, prosopography, and topic modeling).","2024","2023-09-29 10:39:15","2024-03-24 10:25:55","2023-09-29 10:39:15","1-40","","1","56","","History of Political Economy","","","","","","","","","","","","","Silverchair","","https://hal.science/hal-03919394","","/home/agoutsmedt/Zotero/storage/S5KP8AYM/Acosta et al_2023_Six Decades of Economic Research at the Bank of England.pdf; /home/agoutsmedt/Zotero/storage/3DSIF9QX/research-boe.pdf","","published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TI3S677","computerProgram","2023","Goutsmedt, Aurélien; Truc, Alexandre; Claveau, François","biblionetwork: An R Package for Creating Different Types of Bibliometric Networks","","","","","https://zenodo.org/record/7677369","The goal of biblionetwork is to provide functions to create bibliometric networks like bibliographic coupling networks, co-citation networks and co-authorship networks. It identifies edges and calculates the weights according to different methods, depending on the type of networks, the type of nodes, and what you want to analyse. These functions are optimized to be used on very large datasets.","2023","2023-02-25 19:40:36","2025-10-29 15:21:45","2023-02-25 19:40:36","","","","","","","biblionetwork","","","","","Zenodo","","","","","","","Zenodo","","https://agoutsmedt.github.io/biblionetwork/","","","","long-cv; packages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHETSH69","journalArticle","2021","Goutsmedt, Aurélien; Renault, Matthieu; Sergi, Francesco","European Economics and the Early Years of the International Seminar on Macroeconomics","Revue d'Economie Politique","","0373-2630","https://www.cairn.info/revue-d-economie-politique-2021-4-page-693.htm","","The International Seminar on Macroeconomics (ISoM) is an annual conference, which was co-sponsored during 15 years (1978-1993) by the French EHESS and the NBER. This article uncovers the scientific and institutional dynamics unrolling from this cooperation. We argue that macroeconomists gathered by the ISoM contributed greatly to the making of a European network of economists sharing similar professional and intellectual standards. We illustrate how the ISoM stood at the crossroad of two types of ""internationalisation"" of economics: the integration of European national communities and the process of ""Americanisation"" of economics. While existing literature on ""internationalization"" focuses on the national level, our contribution investigates the European level. Moreover, we unveil how two research programmes in macroeconomics (namely the disequilibrium theory and large-scale macroeconometric modelling) played a significant role in this process.","2021","2022-03-05 09:45:42","2025-10-29 15:21:55","","693-722","","4","131","","","","","","","","","","en","","","","","","","https://aurelien-goutsmedt.com/media/pdf/isom.pdf","","/home/agoutsmedt/Zotero/storage/MWI4YVT8/Goutsmedt et al. - 2021 - European Economics and the Early Years of the Inte.pdf; /home/agoutsmedt/Zotero/storage/7XXWAD78/Goutsmedt et al. - 2021 - European Economics and the Early Years of the Inte.pdf","","European_macroeconomics; ISoM; published; short-cv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
